dataset,strategy,labeled_samples,accuracy_mean,accuracy_std,n_trials
pol,Uncertainty Sampling (US),116,0.9255393007686585,0.009964696337090621,30
pol,Uncertainty Sampling (US),117,0.9254401190181006,0.011113139681674733,30
pol,Uncertainty Sampling (US),118,0.9259608232085296,0.01115663583759431,30
pol,Uncertainty Sampling (US),119,0.9266798909000744,0.010719279900510983,30
pol,Uncertainty Sampling (US),120,0.9273493677163402,0.01019122755315312,30
pol,Uncertainty Sampling (US),121,0.9282172080337219,0.00974409462247191,30
pol,Uncertainty Sampling (US),122,0.9286139350359534,0.009396659806811754,30
pol,Uncertainty Sampling (US),123,0.9291098437887428,0.009941948047502666,30
pol,Uncertainty Sampling (US),124,0.9294569799156955,0.00925741505646399,30
pol,Uncertainty Sampling (US),125,0.9300768658566824,0.008741324048479963,30
pol,Uncertainty Sampling (US),126,0.9294569799156955,0.009264969328167763,30
pol,Uncertainty Sampling (US),127,0.9307711381105876,0.008795579762891385,30
pol,Uncertainty Sampling (US),128,0.9320357054302009,0.008076052272548056,30
pol,Uncertainty Sampling (US),129,0.9329283411852219,0.007733125840093735,30
pol,Uncertainty Sampling (US),130,0.9338705678155219,0.005950958471677107,30
pol,Uncertainty Sampling (US),131,0.9345152491941483,0.006259728342010111,30
pol,Uncertainty Sampling (US),132,0.9345648400694273,0.006065705690158132,30
pol,Uncertainty Sampling (US),133,0.9358789982643194,0.005640565077719185,30
pol,Uncertainty Sampling (US),134,0.9356806347632036,0.006039171991925721,30
pol,Uncertainty Sampling (US),135,0.9357550210761221,0.006222021247709496,30
pol,Uncertainty Sampling (US),136,0.9362509298289116,0.006040488283498919,30
pol,Uncertainty Sampling (US),137,0.9365980659558641,0.0055483081518238,30
pol,Uncertainty Sampling (US),138,0.93726754277213,0.005958381718686602,30
pol,Uncertainty Sampling (US),139,0.9382841557153484,0.0068645215525579275,30
pol,Uncertainty Sampling (US),140,0.9387056781552194,0.006996987147631294,30
pol,Uncertainty Sampling (US),141,0.9393503595338458,0.006085334078341995,30
pol,Uncertainty Sampling (US),142,0.9395735184726011,0.0064129021712117,30
pol,Uncertainty Sampling (US),143,0.9398462682866353,0.005201787017144498,30
pol,Uncertainty Sampling (US),144,0.9394247458467643,0.005232082494540881,30
pol,Uncertainty Sampling (US),145,0.9394991321596826,0.005982882184874301,30
pol,Uncertainty Sampling (US),146,0.93915199603273,0.005497812191520086,30
pol,Uncertainty Sampling (US),147,0.9403917679147038,0.005383247259699739,30
pol,Uncertainty Sampling (US),148,0.94009422266303,0.005932922546760029,30
pol,Uncertainty Sampling (US),149,0.9402925861641458,0.006400741424105615,30
pol,Uncertainty Sampling (US),150,0.9408132903545747,0.006690539252395273,30
pol,Uncertainty Sampling (US),151,0.9417803124225143,0.0062985729977520334,30
pol,Uncertainty Sampling (US),152,0.942548970989338,0.007017182872321937,30
pol,Uncertainty Sampling (US),153,0.9418794941730722,0.007262289006386266,30
pol,Uncertainty Sampling (US),154,0.9419538804859907,0.006847823817325868,30
pol,Uncertainty Sampling (US),155,0.9414331762955617,0.007058527357573786,30
pol,Uncertainty Sampling (US),156,0.9414827671708407,0.007843168589970397,30
pol,Uncertainty Sampling (US),157,0.9421026531118275,0.008636835391298406,30
pol,Uncertainty Sampling (US),158,0.9415323580461196,0.007688212782807449,30
pol,Uncertainty Sampling (US),159,0.9427721299280932,0.007450421156919906,30
pol,Uncertainty Sampling (US),160,0.9435407884949168,0.006838157652416741,30
pol,Uncertainty Sampling (US),161,0.9441606744359039,0.00697696086384549,30
pol,Uncertainty Sampling (US),162,0.9439375154971485,0.007375476839239123,30
pol,Uncertainty Sampling (US),163,0.9438879246218695,0.006461316288080396,30
pol,Uncertainty Sampling (US),164,0.9441606744359039,0.006162809751491332,30
pol,Uncertainty Sampling (US),165,0.9440862881229855,0.005615760336917925,30
pol,Uncertainty Sampling (US),166,0.9441110835606249,0.005532408825628192,30
pol,Uncertainty Sampling (US),167,0.9443094470617407,0.005489708271399543,30
pol,Uncertainty Sampling (US),168,0.9445326060004959,0.005226000938535234,30
pol,Uncertainty Sampling (US),169,0.9452268782544012,0.004373135146890744,30
pol,Uncertainty Sampling (US),170,0.945846764195388,0.004382941127840992,30
pol,Uncertainty Sampling (US),171,0.9457227870071906,0.004113842714197285,30
pol,Uncertainty Sampling (US),172,0.9460451276965038,0.004380037940711914,30
pol,Uncertainty Sampling (US),173,0.9459707413835854,0.0047375420993094625,30
pol,Uncertainty Sampling (US),174,0.9461443094470617,0.00502212894686578,30
pol,Uncertainty Sampling (US),175,0.9465658318869328,0.0048329723292725125,30
pol,Uncertainty Sampling (US),176,0.9461939003223407,0.005031238933295261,30
pol,Uncertainty Sampling (US),177,0.945896355070667,0.004869092868319686,30
pol,Uncertainty Sampling (US),178,0.9463922638234565,0.005076293073877423,30
pol,Uncertainty Sampling (US),179,0.9464914455740144,0.004991642249041659,30
pol,Uncertainty Sampling (US),180,0.9462186957599801,0.004450978134091707,30
pol,Uncertainty Sampling (US),181,0.9466154227622118,0.00457165863363081,30
pol,Uncertainty Sampling (US),182,0.9468633771386066,0.004522704138198619,30
pol,Uncertainty Sampling (US),183,0.946888172576246,0.0045012074369376225,30
pol,Uncertainty Sampling (US),184,0.947408876766675,0.005150486997732526,30
pol,Uncertainty Sampling (US),185,0.9476816265807091,0.004773052344518704,30
pol,Uncertainty Sampling (US),186,0.9487230349615671,0.004739354125422506,30
pol,Uncertainty Sampling (US),187,0.9488470121497645,0.005018645073910538,30
pol,Uncertainty Sampling (US),188,0.9491693528390777,0.005514906988948551,30
pol,Uncertainty Sampling (US),189,0.9497396479047855,0.005374793114930738,30
pol,Uncertainty Sampling (US),190,0.9498140342177039,0.005957527715282659,30
pol,Uncertainty Sampling (US),191,0.9498140342177039,0.005882322381238269,30
pol,Uncertainty Sampling (US),192,0.9504587155963303,0.006056629018094652,30
pol,Uncertainty Sampling (US),193,0.950235556657575,0.005678605111304323,30
pol,Uncertainty Sampling (US),194,0.9504835110339698,0.005706536875433579,30
pol,Uncertainty Sampling (US),195,0.9511033969749566,0.005693984537688445,30
pol,Uncertainty Sampling (US),196,0.9509546243491198,0.005365021778625417,30
pol,Uncertainty Sampling (US),197,0.9515001239771883,0.005886645711515584,30
pol,Uncertainty Sampling (US),198,0.9515993057277462,0.005804609230399689,30
pol,Uncertainty Sampling (US),199,0.9519960327299777,0.006007494471691006,30
pol,Uncertainty Sampling (US),200,0.9526159186709646,0.006407345836382526,30
pol,Uncertainty Sampling (US),201,0.9528886684849988,0.006038961358648973,30
pol,Uncertainty Sampling (US),202,0.9525911232333252,0.006398753801344266,30
pol,Uncertainty Sampling (US),203,0.9531118274237541,0.006274950452082948,30
pol,Uncertainty Sampling (US),204,0.9535581453012646,0.0065890033678473155,30
pol,Uncertainty Sampling (US),205,0.9531366228613936,0.0059176804503741414,30
pol,Uncertainty Sampling (US),206,0.9538308951152988,0.005710714856807857,30
pol,Uncertainty Sampling (US),207,0.9537069179271015,0.005454665923941386,30
pol,Uncertainty Sampling (US),208,0.9544011901810067,0.005029279149507586,30
pol,Uncertainty Sampling (US),209,0.9538308951152988,0.004910714250394474,30
pol,Uncertainty Sampling (US),210,0.9541780312422515,0.005126164524552293,30
pol,Uncertainty Sampling (US),211,0.9545003719315646,0.005589650939834516,30
pol,Uncertainty Sampling (US),212,0.9547979171832384,0.005693146731151256,30
pol,Uncertainty Sampling (US),213,0.955145053310191,0.00520575922366805,30
pol,Uncertainty Sampling (US),214,0.9552442350607488,0.005358438308761465,30
pol,Uncertainty Sampling (US),215,0.9552938259360279,0.005309311198930932,30
pol,Uncertainty Sampling (US),216,0.9558393255640962,0.005092117728880106,30
pol,Uncertainty Sampling (US),217,0.956037689065212,0.0054616574449465,30
pol,Uncertainty Sampling (US),218,0.9563104388792463,0.005516982473054729,30
pol,Uncertainty Sampling (US),219,0.9556905529382593,0.005627978609513262,30
pol,Uncertainty Sampling (US),220,0.9562856434416068,0.006026362658950414,30
splice,BALD,20,0.6098584905660377,0.05479729932270761,53
splice,BALD,21,0.618125,0.049830679213804525,12
splice,BALD,22,0.641875,0.05174374138702449,12
splice,BALD,23,0.64875,0.059500763937036266,12
splice,BALD,24,0.6452083333333333,0.06081322311850117,12
splice,BALD,25,0.6445833333333334,0.055183921132111936,12
splice,BALD,26,0.640625,0.059563993470735474,12
splice,BALD,27,0.6441666666666667,0.06107310572112934,12
splice,BALD,28,0.648125,0.05343990890370568,12
splice,BALD,29,0.6502083333333334,0.042459316534843826,12
splice,BALD,30,0.6587500000000001,0.041444102552276825,12
splice,BALD,31,0.6745833333333334,0.03292265960021327,12
splice,BALD,32,0.683125,0.03583619615061639,12
splice,BALD,33,0.6827083333333334,0.03999230513107454,12
splice,BALD,34,0.6864583333333334,0.04377704791603038,12
splice,BALD,35,0.6843750000000001,0.032685223934315666,12
splice,BALD,36,0.6810416666666667,0.03805585508250477,12
splice,BALD,37,0.6887500000000001,0.03116123757607723,12
splice,BALD,38,0.6877083333333333,0.034153036823135086,12
splice,BALD,39,0.6939583333333333,0.03821973451059811,12
splice,BALD,40,0.6985416666666667,0.028393707956432042,12
splice,BALD,41,0.7077083333333333,0.03373456437147714,12
splice,BALD,42,0.7052083333333333,0.03239420426090093,12
splice,BALD,43,0.7108333333333333,0.030157415289936523,12
splice,BALD,44,0.71375,0.03456712836838441,12
splice,BALD,45,0.715,0.03098753415048175,12
splice,BALD,46,0.7122727272727273,0.03944069195409964,11
splice,BALD,47,0.7145454545454546,0.03580883588268023,11
splice,BALD,48,0.7209090909090908,0.03453752899515119,11
splice,BALD,49,0.7188636363636364,0.028248089235460603,11
splice,BALD,50,0.7227272727272728,0.025579643895452933,11
splice,BALD,51,0.7252272727272727,0.02237338109938198,11
splice,BALD,52,0.7254545454545455,0.02344723282762227,11
splice,BALD,53,0.7345454545454545,0.016838133129083162,11
splice,BALD,54,0.7331818181818182,0.01666174169658251,11
splice,BALD,55,0.730909090909091,0.016403990645294464,11
splice,BALD,56,0.7320454545454546,0.019487758395277992,11
splice,BALD,57,0.7363636363636363,0.019664804739802182,11
splice,BALD,58,0.736590909090909,0.017828093254493273,11
splice,BALD,59,0.7370454545454546,0.016156197797524235,11
splice,BALD,60,0.7350000000000001,0.01778341924377876,11
splice,BALD,61,0.7313636363636363,0.020042568334785522,11
splice,BALD,62,0.7350000000000001,0.02269361143582044,11
splice,BALD,63,0.7338636363636364,0.022370841411411966,11
splice,BALD,64,0.7361363636363637,0.019696561767337587,11
splice,BALD,65,0.7377272727272728,0.020138723440630016,11
splice,BALD,66,0.7384090909090909,0.017898069982288906,11
