dataset,strategy_code,strategy,seed,trial,n_labeled,accuracy,line_type
ionosphere,uniform,Random,1,1,192,0.950354609929078,update
ionosphere,uniform,Random,1,1,193,0.950354609929078,update
ionosphere,uniform,Random,1,1,194,0.950354609929078,update
ionosphere,uniform,Random,1,1,195,0.950354609929078,update
ionosphere,uniform,Random,1,1,196,0.950354609929078,update
ionosphere,uniform,Random,1,1,197,0.950354609929078,update
ionosphere,uniform,Random,1,1,198,0.950354609929078,update
ionosphere,uniform,Random,1,1,199,0.950354609929078,update
ionosphere,uniform,Random,1,1,200,0.950354609929078,update
ionosphere,uniform,Random,1,1,201,0.950354609929078,update
ionosphere,uniform,Random,1,1,202,0.9574468085106383,update
ionosphere,uniform,Random,1,1,203,0.9574468085106383,update
ionosphere,uniform,Random,1,1,204,0.9574468085106383,update
ionosphere,uniform,Random,1,1,205,0.9574468085106383,update
ionosphere,uniform,Random,1,1,206,0.9574468085106383,update
ionosphere,uniform,Random,1,1,207,0.9574468085106383,update
ionosphere,uniform,Random,1,1,208,0.9574468085106383,update
ionosphere,uniform,Random,1,1,209,0.9574468085106383,update
ionosphere,uniform,Random,1,1,210,0.9574468085106383,update
ionosphere,uniform,Random,2,2,20,0.8085106382978723,init
ionosphere,uniform,Random,2,2,21,0.8226950354609929,update
ionosphere,uniform,Random,2,2,22,0.8085106382978723,update
ionosphere,uniform,Random,2,2,23,0.8085106382978723,update
ionosphere,uniform,Random,2,2,24,0.8156028368794326,update
ionosphere,uniform,Random,2,2,25,0.8226950354609929,update
ionosphere,uniform,Random,2,2,26,0.8156028368794326,update
ionosphere,uniform,Random,2,2,27,0.8085106382978723,update
ionosphere,uniform,Random,2,2,28,0.8156028368794326,update
ionosphere,uniform,Random,2,2,29,0.8156028368794326,update
ionosphere,uniform,Random,2,2,30,0.8297872340425532,update
ionosphere,uniform,Random,2,2,31,0.8156028368794326,update
ionosphere,uniform,Random,2,2,32,0.8226950354609929,update
ionosphere,uniform,Random,2,2,33,0.9432624113475178,update
ionosphere,uniform,Random,2,2,34,0.9290780141843972,update
ionosphere,uniform,Random,2,2,35,0.9290780141843972,update
ionosphere,uniform,Random,2,2,36,0.9219858156028369,update
ionosphere,uniform,Random,2,2,37,0.9574468085106383,update
ionosphere,uniform,Random,2,2,38,0.950354609929078,update
ionosphere,uniform,Random,2,2,39,0.950354609929078,update
ionosphere,uniform,Random,2,2,40,0.950354609929078,update
ionosphere,uniform,Random,2,2,41,0.950354609929078,update
ionosphere,uniform,Random,2,2,42,0.950354609929078,update
ionosphere,uniform,Random,2,2,43,0.9574468085106383,update
ionosphere,uniform,Random,2,2,44,0.9574468085106383,update
ionosphere,uniform,Random,2,2,45,0.9574468085106383,update
ionosphere,uniform,Random,2,2,46,0.9574468085106383,update
ionosphere,uniform,Random,2,2,47,0.950354609929078,update
ionosphere,uniform,Random,2,2,48,0.950354609929078,update
ionosphere,uniform,Random,2,2,49,0.950354609929078,update
ionosphere,uniform,Random,2,2,50,0.9432624113475178,update
ionosphere,uniform,Random,2,2,51,0.9432624113475178,update
ionosphere,uniform,Random,2,2,52,0.950354609929078,update
ionosphere,uniform,Random,2,2,53,0.950354609929078,update
ionosphere,uniform,Random,2,2,54,0.9432624113475178,update
ionosphere,uniform,Random,2,2,55,0.950354609929078,update
ionosphere,uniform,Random,2,2,56,0.950354609929078,update
ionosphere,uniform,Random,2,2,57,0.950354609929078,update
ionosphere,uniform,Random,2,2,58,0.950354609929078,update
ionosphere,uniform,Random,2,2,59,0.9432624113475178,update
ionosphere,uniform,Random,2,2,60,0.9290780141843972,update
ionosphere,uniform,Random,2,2,61,0.9219858156028369,update
ionosphere,uniform,Random,2,2,62,0.9361702127659575,update
ionosphere,uniform,Random,2,2,63,0.9290780141843972,update
ionosphere,uniform,Random,2,2,64,0.9290780141843972,update
ionosphere,uniform,Random,2,2,65,0.9290780141843972,update
ionosphere,uniform,Random,2,2,66,0.9290780141843972,update
ionosphere,uniform,Random,2,2,67,0.9290780141843972,update
ionosphere,uniform,Random,2,2,68,0.9219858156028369,update
ionosphere,uniform,Random,2,2,69,0.9219858156028369,update
ionosphere,uniform,Random,2,2,70,0.9290780141843972,update
ionosphere,uniform,Random,2,2,71,0.8936170212765957,update
ionosphere,uniform,Random,2,2,72,0.8936170212765957,update
ionosphere,uniform,Random,2,2,73,0.8794326241134752,update
ionosphere,uniform,Random,2,2,74,0.8865248226950354,update
ionosphere,uniform,Random,2,2,75,0.8794326241134752,update
ionosphere,uniform,Random,2,2,76,0.8865248226950354,update
